Part,MANUFACTURER,MPN,DESCRIPTION
RELAY_CONTROL_TOP1:RELAY_CONTROL1:D1,SMC,1N4148WSTR,DIODE GEN PURP 75V 300MA SOD323
RELAY_CONTROL_TOP1:RELAY_CONTROL1:D2,SMC,1N4148WSTR,DIODE GEN PURP 75V 300MA SOD323
RELAY_CONTROL_TOP1:RELAY_CONTROL1:JESTP,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:RELAY_CONTROL1:JMOW,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:RELAY_CONTROL1:JTHR,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R1,,,1.20kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R3,,,1.20kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R11,,,47kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R13,,,47kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCB1,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCB2,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCD,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCM,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:U$2,Diodes Inc,ZXTN25100DGTA,TRANS NPN 100V 3A SOT223
RELAY_CONTROL_TOP1:RELAY_CONTROL1:U$7,Diodes Inc,ZXTN25100DGTA,TRANS NPN 100V 3A SOT223
RELAY_CONTROL_TOP1:RELAY_CONTROL1:U$10,Diodes Inc,ZXTN25100DGTA,TRANS NPN 100V 3A SOT223
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R1,,,750Ω resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R2,,,150kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R3,,,RES-10066
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R4,,,47kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R7,,,6.8kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R8,,,75Ω resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:U1,Texas Instruments,LMV762MM/NOPB,"Low Voltage, Precision Comparator with Push-Pull Output 8-VSSOP -40 to 125"
SENSOR_TOP1:ENCODER1:X1,Phoenix Contact,1751264,CONN TERM BLOCK 4POS 3.5MM
SENSOR_TOP1:ENCODER2:X1,Phoenix Contact,1751264,CONN TERM BLOCK 4POS 3.5MM
SENSOR_TOP1:IMU1:U$1,Sparkfun,LSM9DS1-Breakout,9DoF IMU Breakout
SENSOR_TOP1:REACH_GPS1:U$1,Hirose,DF13-6P-1.25V(50),CONN HEADER 6POS 1.25MM SMD GOLD
U301, Push- Pull 14-TSSOP -40 to 125,Texas Instruments,4-Bit Bidirectional Multi-Voltage Level Translator for Open-Drain &amp
X101,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
